model,learning_rate,seed,test_macro_f1,test_accuracy,test_f1_BACKGROUND,test_f1_OBJECTIVE,test_f1_METHODS,test_f1_RESULTS,test_f1_CONCLUSIONS,train_time_seconds
bert-base,2e-05,42,0.8085436141540105,0.8693623639191291,0.7044043748152528,0.6439096267190569,0.9388633179907945,0.9171322160148976,0.8384085352300511,2453.26206946373
bert-base,2e-05,123,0.808452679543486,0.8690918926228954,0.7008496050081979,0.6493946731234866,0.9390688158091721,0.9172264131445697,0.8357238906320036,2620.3421597480774
scibert,1e-05,42,0.8183521894193506,0.876563662181351,0.713263785394933,0.660761311946373,0.9425782227784731,0.9231327048585932,0.8520249221183801,3627.8194677829742
scibert,2e-05,42,0.8177996282787301,0.8767327067414971,0.7140939597315437,0.6567961165048544,0.9427330370962105,0.9229415722196347,0.8524334558414077,2634.5310542583466
scibert,2e-05,123,0.8199578040359567,0.8789302860233957,0.7160048134777377,0.6582890285161914,0.9441123729826658,0.9252229827836549,0.8561598224195338,2463.4721508026123
scibert,5e-05,42,0.8136222815426419,0.8743322739874231,0.7064661654135338,0.6501800720288116,0.9426713356678339,0.9228623094807543,0.8459315251222765,2640.393201828003
